2024-06-11T09:12:01 | INFO     | trading_bot.cli | Command: order  args: {'command': 'order', 'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'qty': 0.001, 'price': None, 'stop_price': None, 'tif': 'GTC', 'yes': True, 'log_level': 'INFO', 'verbose': False}
2024-06-11T09:12:01 | INFO     | trading_bot     | Logging initialised — file: /trading_bot/logs/trading_bot.log  level: INFO
2024-06-11T09:12:01 | INFO     | trading_bot.service | Submitting order: BUY MARKET BTCUSDT qty=0.001 price=None
2024-06-11T09:12:01 | INFO     | trading_bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=0.001 price=None
2024-06-11T09:12:01 | DEBUG    | trading_bot.client | Response status: 200
2024-06-11T09:12:01 | DEBUG    | trading_bot.client | Response body: {"orderId":3953907681,"symbol":"BTCUSDT","status":"FILLED","clientOrderId":"x-Cb7ytekJ8c15e4d3b5db","price":"0","avgPrice":"67823.50","origQty":"0.001","executedQty":"0.001","cumQty":"0.001","cumQuote":"67.82350","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"NONE","goodTillDate":0,"updateTime":1718093521382}
2024-06-11T09:12:01 | INFO     | trading_bot.client | Order placed successfully: orderId=3953907681 status=FILLED
2024-06-11T09:12:01 | INFO     | trading_bot.service | Order result: {'orderId': 3953907681, 'symbol': 'BTCUSDT', 'status': 'FILLED', 'clientOrderId': 'x-Cb7ytekJ8c15e4d3b5db', 'price': '0', 'avgPrice': '67823.50', 'origQty': '0.001', 'executedQty': '0.001', 'cumQty': '0.001', 'cumQuote': '67.82350', 'timeInForce': 'GTC', 'type': 'MARKET', 'side': 'BUY', 'updateTime': 1718093521382}
2024-06-11T09:15:44 | INFO     | trading_bot.cli | Command: order  args: {'command': 'order', 'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'qty': 0.001, 'price': 72000.0, 'stop_price': None, 'tif': 'GTC', 'yes': True, 'log_level': 'INFO', 'verbose': False}
2024-06-11T09:15:44 | INFO     | trading_bot.service | Submitting order: SELL LIMIT BTCUSDT qty=0.001 price=72000.0
2024-06-11T09:15:44 | INFO     | trading_bot.client | Placing SELL LIMIT order | symbol=BTCUSDT qty=0.001 price=72000.0
2024-06-11T09:15:44 | DEBUG    | trading_bot.client | Response status: 200
2024-06-11T09:15:44 | DEBUG    | trading_bot.client | Response body: {"orderId":3953912047,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"x-Cb7ytekJ5f2a1b9c3de4","price":"72000","avgPrice":"0.00","origQty":"0.001","executedQty":"0","cumQty":"0","cumQuote":"0","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"NONE","goodTillDate":0,"updateTime":1718093744891}
2024-06-11T09:15:44 | INFO     | trading_bot.client | Order placed successfully: orderId=3953912047 status=NEW
2024-06-11T09:15:44 | INFO     | trading_bot.service | Order result: {'orderId': 3953912047, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJ5f2a1b9c3de4', 'price': '72000', 'avgPrice': '0.00', 'origQty': '0.001', 'executedQty': '0', 'side': 'SELL', 'type': 'LIMIT', 'timeInForce': 'GTC', 'updateTime': 1718093744891}
2024-06-11T09:18:11 | INFO     | trading_bot.cli | Command: order  args: {'command': 'order', 'symbol': 'ETHUSDT', 'side': 'BUY', 'type': 'STOP', 'qty': 0.01, 'price': 3600.0, 'stop_price': 3580.0, 'tif': 'GTC', 'yes': True, 'log_level': 'INFO', 'verbose': False}
2024-06-11T09:18:11 | INFO     | trading_bot.service | Submitting order: BUY STOP ETHUSDT qty=0.01 price=3600.0
2024-06-11T09:18:11 | INFO     | trading_bot.client | Placing BUY STOP order | symbol=ETHUSDT qty=0.01 price=3600.0
2024-06-11T09:18:12 | DEBUG    | trading_bot.client | Response status: 200
2024-06-11T09:18:12 | DEBUG    | trading_bot.client | Response body: {"orderId":892741053,"symbol":"ETHUSDT","status":"NEW","clientOrderId":"x-Cb7ytekJ3a9b2c7d1ef5","price":"3600","avgPrice":"0.00","origQty":"0.01","executedQty":"0","cumQty":"0","cumQuote":"0","timeInForce":"GTC","type":"STOP","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"3580","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"STOP","priceMatch":"NONE","selfTradePreventionMode":"NONE","goodTillDate":0,"updateTime":1718093892214}
2024-06-11T09:18:12 | INFO     | trading_bot.client | Order placed successfully: orderId=892741053 status=NEW
